,County,Geography,2016_r,2012_r,2016_d,2012_d
0,Greenlee,"Greenlee County, Arizona",0.3644067796610169,0.535305985205111,0.2103235747303544,0.44048419636852726
1,Cochise,"Cochise County, Arizona",0.5616714985504349,0.601942738199702,0.3488953314005798,0.378466624492378
2,Gila,"Gila County, Arizona",0.3864621086192332,0.625,0.19083303812300734,0.35753437383872166
3,Graham,"Graham County, Arizona",0.39520338816113465,0.681231547870097,0.1625627893233527,0.3044285111767187
4,Apache,"Apache County, Arizona",0.2978923393948158,0.3191736304549675,0.6175843245001988,0.6633782110801609
5,Maricopa,"Maricopa County, Arizona",0.4766837560609095,0.5447536536782323,0.44832998901669435,0.4375318729759298
6,Santa Cruz,"Santa Cruz County, Arizona",0.2371447696707844,0.30480783071829565,0.7113734558510315,0.6827407514034836
7,Pima,"Pima County, Arizona",0.3970875628498245,0.45723741007194246,0.5328265819182241,0.5264905166775671
8,Yuma,"Yuma County, Arizona",0.47472175061309185,0.5566228875169833,0.46415770609318996,0.4304578933568517
9,La Paz,"La Paz County, Arizona",0.6726600571332549,0.6496414203253454,0.2646614014451353,0.3288437991953822
10,Coconino,"Coconino County, Arizona",0.35307105580088316,0.4101989136107943,0.5420179312190553,0.5655603023332237
11,Pinal,"Pinal County, Arizona",0.5621092121717383,0.5731339149702257,0.3696910749849474,0.40904768499284494
12,Yavapai,"Yavapai County, Arizona",0.6232415902140673,0.642860704207094,0.3109654871122761,0.33822282939281834
13,Mohave,"Mohave County, Arizona",0.7290444441664686,0.7022996714755035,0.21834306943697385,0.2790029995714898
14,Navajo,"Navajo County, Arizona",0.5106715640045665,0.5325833668139816,0.4084727254678116,0.45386366680058926
15,Mitchell,"Mitchell County, Georgia",0.5430203045685279,0.5021148036253776,0.4432741116751269,0.49317220543806645
16,Randolph,"Randolph County, Georgia",0.43842704380820974,0.4156311314584696,0.55122456019317,0.578809679529104
17,Bacon,"Bacon County, Georgia",0.83681592039801,0.7868226914271178,0.15124378109452735,0.2012210633426609
18,White,"White County, Georgia",0.8255941808339677,0.8248474446987033,0.1415884293326567,0.15932494279176201
19,Irwin,"Irwin County, Georgia",0.7400544959128066,0.6842814774871934,0.24277929155313352,0.30763008897276894
20,Brooks,"Brooks County, Georgia",0.5841224747474747,0.5271432809255414,0.398989898989899,0.465440522100267
21,Terrell,"Terrell County, Georgia",0.44736213893530674,0.41700773078672126,0.5411792790642158,0.5784447476125512
