GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
0500000US04001,04001,"Apache County, Arizona",34.2,0.2,33.5,0.3,35.0,0.2
0500000US04003,04003,"Cochise County, Arizona",40.5,0.3,39.0,0.5,42.4,0.4
0500000US04005,04005,"Coconino County, Arizona",30.6,0.2,30.7,0.2,30.6,0.2
0500000US04007,04007,"Gila County, Arizona",49.3,0.4,48.0,0.5,50.8,0.5
0500000US04009,04009,"Graham County, Arizona",33.1,0.3,33.3,0.3,32.4,1.1
0500000US04011,04011,"Greenlee County, Arizona",33.4,0.8,32.3,0.5,35.5,2.0
0500000US04012,04012,"La Paz County, Arizona",56.0,0.5,56.1,0.9,55.8,0.5
0500000US04013,04013,"Maricopa County, Arizona",36.0,0.2,34.9,0.1,37.2,0.1
0500000US04015,04015,"Mohave County, Arizona",50.4,0.1,49.5,0.2,51.4,0.4
0500000US04017,04017,"Navajo County, Arizona",35.9,0.2,34.9,0.2,37.4,0.4
0500000US04019,04019,"Pima County, Arizona",38.2,0.2,36.6,0.1,39.9,0.2
0500000US04021,04021,"Pinal County, Arizona",38.5,0.1,37.4,0.2,39.7,0.3
0500000US04023,04023,"Santa Cruz County, Arizona",36.6,0.4,34.0,0.7,39.0,0.7
0500000US04025,04025,"Yavapai County, Arizona",52.2,0.2,50.9,0.3,53.6,0.2
0500000US04027,04027,"Yuma County, Arizona",34.1,0.2,32.5,0.3,36.2,0.3
0500000US12001,12001,"Alachua County, Florida",31.2,0.2,30.3,0.2,32.1,0.3
0500000US12003,12003,"Baker County, Florida",37.1,1.3,35.7,0.9,39.0,0.9
0500000US12005,12005,"Bay County, Florida",39.6,0.3,38.1,0.3,41.1,0.4
0500000US12007,12007,"Bradford County, Florida",40.9,1.3,36.9,0.7,45.0,0.3
0500000US12009,12009,"Brevard County, Florida",47.1,0.1,45.4,0.2,48.5,0.2
0500000US12011,12011,"Broward County, Florida",40.1,0.2,38.8,0.2,41.2,0.1
0500000US12013,12013,"Calhoun County, Florida",40.3,1.1,38.5,2.1,43.8,2.5
0500000US12015,12015,"Charlotte County, Florida",58.1,0.3,57.0,0.3,59.0,0.3
0500000US12017,12017,"Citrus County, Florida",55.9,0.2,55.0,0.1,56.7,0.3
0500000US12019,12019,"Clay County, Florida",39.4,0.4,38.0,0.4,40.3,0.3
0500000US12021,12021,"Collier County, Florida",49.7,0.1,47.9,0.4,51.3,0.2
0500000US12023,12023,"Columbia County, Florida",40.7,0.5,38.8,0.8,42.8,0.5
0500000US12027,12027,"DeSoto County, Florida",40.7,0.7,39.1,0.8,43.4,0.5
0500000US12029,12029,"Dixie County, Florida",47.6,0.7,45.6,0.9,49.7,0.7
0500000US12031,12031,"Duval County, Florida",36.0,0.2,34.7,0.1,37.6,0.2
0500000US12033,12033,"Escambia County, Florida",37.0,0.2,34.8,0.1,39.3,0.3
0500000US12035,12035,"Flagler County, Florida",50.3,0.2,49.1,0.4,51.0,0.5
0500000US12037,12037,"Franklin County, Florida",44.3,0.7,40.7,1.0,48.5,2.1
0500000US12039,12039,"Gadsden County, Florida",40.7,0.7,39.7,1.3,41.4,0.6
0500000US12041,12041,"Gilchrist County, Florida",42.8,0.6,37.9,1.5,46.5,1.2
0500000US12043,12043,"Glades County, Florida",45.8,1.9,42.8,2.6,49.9,2.0
0500000US12045,12045,"Gulf County, Florida",44.3,0.7,41.0,1.4,49.6,0.6
0500000US12047,12047,"Hamilton County, Florida",41.1,1.1,37.5,1.4,45.1,0.7
0500000US12049,12049,"Hardee County, Florida",34.9,0.7,32.8,1.0,37.5,1.9
0500000US12051,12051,"Hendry County, Florida",33.7,0.4,32.6,0.5,35.9,1.1
0500000US12053,12053,"Hernando County, Florida",48.9,0.2,47.4,0.2,50.1,0.1
0500000US12055,12055,"Highlands County, Florida",53.1,0.3,51.6,0.4,54.5,0.3
0500000US12057,12057,"Hillsborough County, Florida",36.8,0.1,35.8,0.2,37.8,0.1
0500000US12059,12059,"Holmes County, Florida",42.2,0.8,38.2,0.5,47.5,0.9
0500000US12061,12061,"Indian River County, Florida",52.2,0.2,50.2,0.3,53.4,0.3
0500000US12063,12063,"Jackson County, Florida",41.5,0.4,39.8,0.7,44.5,0.4
0500000US12065,12065,"Jefferson County, Florida",46.0,0.7,43.2,0.9,50.1,0.4
0500000US12067,12067,"Lafayette County, Florida",39.2,1.9,37.3,2.2,40.9,2.4
0500000US12069,12069,"Lake County, Florida",46.6,0.2,45.3,0.2,47.9,0.2
0500000US12071,12071,"Lee County, Florida",47.8,0.2,46.4,0.2,49.2,0.2
0500000US12073,12073,"Leon County, Florida",30.5,0.1,29.4,0.3,31.3,0.2
0500000US12075,12075,"Levy County, Florida",46.4,0.5,45.3,0.4,47.5,1.1
0500000US12077,12077,"Liberty County, Florida",36.9,1.8,36.0,2.9,38.8,5.6
