Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US04001,4001,"Apache County, Arizona",71602,*****,16314,302,364,134,52488,342,248,84,61,62,505,179,1622,437,185,118,1437,416
0500000US04003,4003,"Cochise County, Arizona",126516,*****,106782,965,4786,413,1548,262,2298,213,507,71,4842,884,5753,734,1000,289,4753,644
0500000US04005,4005,"Coconino County, Arizona",138639,*****,88147,779,1986,241,36850,681,2590,244,196,45,3915,671,4955,658,594,238,4361,640
0500000US04007,4007,"Gila County, Arizona",53145,*****,41211,516,300,112,8419,215,467,35,0,29,1219,485,1529,321,147,102,1382,293
0500000US04009,4009,"Graham County, Arizona",37700,*****,29782,402,750,95,4974,257,279,25,59,46,878,298,978,351,235,124,743,322
0500000US04011,4011,"Greenlee County, Arizona",9368,*****,8533,129,191,12,379,63,33,40,0,17,194,109,38,31,12,18,26,23
0500000US04012,4012,"La Paz County, Arizona",20477,*****,15428,395,177,60,2609,232,162,24,46,44,1424,468,631,208,80,61,551,185
0500000US04013,4013,"Maricopa County, Arizona",4155501,*****,3241643,7528,222363,2295,78683,2061,163988,1948,8881,552,295944,6887,143999,4539,28866,1668,115133,3995
0500000US04015,4015,"Mohave County, Arizona",204691,*****,185042,1000,2208,201,4830,326,2528,237,272,148,5174,939,4637,630,766,277,3871,496
0500000US04017,4017,"Navajo County, Arizona",107902,*****,51648,537,889,142,47642,472,663,109,121,14,3517,600,3422,442,331,142,3091,406
0500000US04019,4019,"Pima County, Arizona",1007257,*****,774499,3793,34872,925,34765,1374,27969,715,1582,290,88351,3639,45219,2198,12087,1333,33132,1630
0500000US04021,4021,"Pinal County, Arizona",405537,*****,326120,2142,18273,748,20386,1389,7013,423,1441,186,17777,1625,14527,1539,2484,501,12043,1379
0500000US04023,4023,"Santa Cruz County, Arizona",46358,*****,39955,1018,236,122,217,131,395,94,0,26,5065,1011,490,217,233,141,257,169
0500000US04025,4025,"Yavapai County, Arizona",220972,*****,203251,1100,1169,164,3762,363,2122,227,67,55,5656,1026,4945,458,341,153,4604,425
0500000US04027,4027,"Yuma County, Arizona",204281,*****,149306,2866,4267,328,2630,369,2662,299,131,85,40122,2864,5163,669,1423,432,3740,479
0500000US12001,12001,"Alachua County, Florida",259865,*****,180699,665,52376,817,855,116,15273,377,169,34,2274,475,8219,985,951,225,7268,934
0500000US12003,12003,"Baker County, Florida",27537,*****,22963,179,3797,79,106,88,200,39,11,15,221,177,239,130,0,25,239,130
0500000US12005,12005,"Bay County, Florida",180117,*****,147474,610,19740,561,1389,261,4196,384,54,49,1400,447,5864,740,399,172,5465,709
0500000US12007,12007,"Bradford County, Florida",26775,*****,20861,75,5139,280,89,78,159,67,6,11,74,55,447,302,16,18,431,301
0500000US12009,12009,"Brevard County, Florida",568183,*****,470794,1341,57728,1260,1945,358,13843,631,421,103,7410,956,16042,1352,2013,599,14029,1283
0500000US12011,12011,"Broward County, Florida",1890416,*****,1165004,3903,536589,2964,5050,857,67822,1104,1102,228,57417,3100,57432,3058,11864,1358,45568,2859
0500000US12013,12013,"Calhoun County, Florida",14458,*****,11609,159,1878,176,135,86,115,14,0,21,284,208,437,226,55,67,382,207
0500000US12015,12015,"Charlotte County, Florida",173236,*****,156037,567,9840,417,508,168,2044,277,61,77,1278,419,3468,560,500,199,2968,535
0500000US12017,12017,"Citrus County, Florida",141373,*****,131599,356,4165,284,499,103,2354,119,7,14,631,314,2118,341,236,126,1882,292
